Id,Name,DepartmentId,Role,ManagerId
1,Van David,1,Manager,null
2,Reta Bayer,2,Manager,null
3,Tyreek Cole,3,Manager,null
4,David,4,Manager,null
5,Jonatan Batz,5,Manager,null
6,Armani Waters,6,Manager,null
7,Cordia Cummerata,1,Sales Associate,1
8,Lenore Smitham,2,Sales Associate,2
9,Nikko Hintz,3,Sales Associate,3
10,Domenica Ankunding,4,Sales Associate,4
11,Camron Schaden,5,Sales Associate,5
12,Lesly Turcotte,6,Sales Associate,6
13,Cecile O'Kon,1,Sales Associate,1
14,Freddie Kihn,2,Sales Associate,2
15,Bradley Bayer,3,Sales Associate,3
16,Preston Balistreri,4,Sales Associate,4
17,Addison Douglas,1,Developer,1
18,Myrtis Koepp,2,Developer,2
19,Stephon Greenholt,3,Developer,3
20,Josh Fetcher,4,Developer,4
21,Laisha Collier,5,Developer,5
22,Fidel Heller,6,Developer,6
23,Clarissa Gaylord,1,Developer,1
24,Manuela Beahan,2,Developer,2
25,Maribel Kautzer,3,Developer,3
26,Maiya ammes,4,Developer,4
27,Oleta Toy,5,Developer,5
28,Chaim Daugherty,6,Developer,6
29,Ryann Gutmann,1,Developer,1
30,Schuyler Schmeler,2,Developer,2
31,Mabelle Hermiston,3,Developer,3
32,Edna Daniel,4,Developer,4
33,Noble Roob,5,Developer,5
34,Jammie Feil,6,Developer,6
35,Rey Eichmann,1,Developer,1
36,Rachael Kuvalis,2,Developer,2
37,Wade Breitenberg,3,Developer,3
38,Larue Hilpert,4,Developer,4
39,Mina Ondricka,5,Developer,5
40,Misty Konopelski,6,Developer,6
41,Lilian Witting,1,Developer,1
42,Annetta Spinka,2,Developer,2
43,Abigail Glover,3,Developer,3
44,Shanny Abshire,4,Developer,4
45,Haylee Hyatt,5,Developer,5
46,Gustave Mraz,6,Developer,6
47,Enrique Kuhlman,1,Developer,1
48,Drake Jenkins,2,Developer,2
49,Dominique Glover,3,Developer,3
50,Everardo Gutmann,4,Developer,4
51,Schuyler Rau,5,Developer,5
52,Mose Kemmer,6,Developer,6
53,Alysa Murray,1,Developer,1
54,Rodolfo Labadie,2,Developer,2
55,Arden Maggio,3,Developer,3
56,Giles Murazik,4,Developer,4
57,Marty Wisozk,5,Developer,5
58,Alexandrine Goldner,6,Developer,6
59,Carmine Maggio,1,Developer,1
60,Orlando Dooley,2,Developer,2
61,Judge Johnson,3,Developer,3
62,Mikel Schumm,4,Developer,4
63,Eriberto Johnston,5,Developer,5
64,Crawford Bogan,6,Developer,6
65,Hector Gutmann,1,Developer,1
66,Joannie McDermott,2,Developer,2
67,Jordan Toy,3,Developer,3
68,Anya Windler,4,Developer,4
69,Christine Hirthe,5,Developer,5
70,Priscilla Mertz,6,Developer,6
71,Kole Metz,1,Developer,1
72,Wendell Fadel,2,Developer,2
73,Cordelia Hamill,3,Developer,3
74,Felix Gislason,4,Developer,4
75,Frederic Corkery,5,Developer,5
76,Taylor Paucek,6,Developer,6
